Name,Street Address,City,State,Phone,Full Address,Latitude,Longitude,,,
Cambridge Health Alliance,1493 Cambridge Street,Cambridge,Massachusetts,(617) 665-1000,"1493 Cambridge Street, Cambridge, Massachusetts",42.3748024,-71.1042804,,,
Somerville Hospital,33 Tower Street,Somerville,Massachusetts,(617) 591-4500,"33 Tower Street, Somerville, Massachusetts",42.3896962,-71.10991450000002,,,
Everett Hospital,103 Garland Street,Everett,Massachusetts,(617) 389-6270,"103 Garland Street, Everett, Massachusetts",42.4095688,-71.0396982,,,
Cape Cod Hospital,27 Park Street,Hyannis,Massachusetts,(508) 771-1800,"27 Park Street, Hyannis, Massachusetts",41.6535048,-70.2730138,,,
Carney Hospital,2100 Dorchester Avenue,Dorchester,Massachusetts,(617) 296-4000,"2100 Dorchester Avenue, Dorchester, Massachusetts",42.2780789,-71.06622349999999,,,
Steward Satellite ER Facility-Quincy,114 Whitwell Street,Quincy,Massachusetts,(617) 773-6100,"114 Whitwell Street, Quincy, Massachusetts",42.25043369999999,-71.0138394,,,
Cooley Dickinson Health (Hospital),30 Locust Street,Northampton,Massachusetts,(413) 582-2000,"30 Locust Street, Northampton, Massachusetts",42.3317772,-72.65417839999999,,,
Curahealth Hospital Stoughton,"909 Sumner Street, First Floor",Stoughton,Massachusetts,(781) 297-8200,"909 Sumner Street, First Floor, Stoughton, Massachusetts",42.1007161,-71.0818113,,,
"Dana-Farber Cancer Institute, Inc.",450 Brookline Avenue,Boston,Massachusetts,(617) 632-3000,"450 Brookline Avenue, Boston, Massachusetts",42.3374515,-71.1081799,,,
Deerfield Academy Infirmary,Albany Road,Deerfield,Massachusetts,(413) 772-0241,"Albany Road, Deerfield, Massachusetts",42.5452447,-72.6069577,,,
Dr John C Corrigan Mental Health Center,49 Hillside Street,Fall River,Massachusetts,(508) 235-7200,"49 Hillside Street, Fall River, Massachusetts",41.7075293,-71.1457956,,,
Dr. Solomon Carter Fuller Mental Health Center,85 East Newton Street,Boston,Massachusetts,(617) 626–9200,"85 East Newton Street, Boston, Massachusetts",42.3362574,-71.070829,,,
Emerson Health,133 Old Road to Nine Acre Corner,Concord,Massachusetts,(978) 369-1400,"133 Old Road to Nine Acre Corner, Concord, Massachusetts",42.4524369,-71.3761748,,,
Encompass Health Rehabilitation Hospital of Braintree,250 Pond Street,Braintree,Massachusetts,(781) 348-2500,"250 Pond Street, Braintree, Massachusetts",42.197953,-71.01848269999999,,,
Encompass Health Rehabilitation Hospital of New England,2 Rehabilitation Way,Woburn,Massachusetts,(781) 935-5050,"2 Rehabilitation Way, Woburn, Massachusetts",42.4635441,-71.1620258,,,
New England Rehab Hospital At Danvers,75 Lindall Street,Danvers,Massachusetts,(978) 762-0679,"75 Lindall Street, Danvers, Massachusetts",42.5743566,-70.9436273,,,
New England Rehab Hospital At Lowell,1071 Varnum Avenue,Lowell,Massachusetts,(978) 446-1862,"1071 Varnum Avenue, Lowell, Massachusetts",42.6443406,-71.3675627,,,
Encompass Health Rehabilitation Hospital of Western Massachusetts,222 State Street,Ludlow,Massachusetts,(413) 308-3300,"222 State Street, Ludlow, Massachusetts",42.15551199999999,-72.47232079999999,,,
"Fairlawn Rehabilitation Hospital, An Affiliate of Encompass Health",189 May Street,Worcester,Massachusetts,(508) 791-6351,"189 May Street, Worcester, Massachusetts",42.2602158,-71.8352811,,,
Fairview Hospital,29 Lewis Avenue,Great Barrington,Massachusetts,(413) 528-0790,"29 Lewis Avenue, Great Barrington, Massachusetts",42.1898209,-73.3712381,,,
Falmouth Hospital,100 Ter Heun Drive,Falmouth,Massachusetts,(508) 548-5300,"100 Ter Heun Drive, Falmouth, Massachusetts",41.5643088,-70.62223709999999,,,
Franciscan Children's,30 Warren Street,Brighton,Massachusetts,(617) 254-3800,"30 Warren Street, Brighton, Massachusetts",42.3503066,-71.1422522,,,
Fuller Hospital,200 May Street,S. Attleboro,Massachusetts,(508) 761-8500,"200 May Street, S. Attleboro, Massachusetts",41.92440870000001,-71.36032709999999,,,
Good Samaritan Medical Center,235 N. Pearl Street,Brockton,Massachusetts,(508) 427-3000,"235 N. Pearl Street, Brockton, Massachusetts",42.0978285,-71.0615518,,,
Groton School Infirmary,"282 Farmers Row, PO BOX 991",Groton,Massachusetts,(978) 448-2844,"282 Farmers Row, PO BOX 991, Groton, Massachusetts",42.593583,-71.58393749999999,,,
Harrington Hospital,100 South Street,Southbridge,Massachusetts,(508) 765-9771,"100 South Street, Southbridge, Massachusetts",42.0788833,-72.04149249999999,,,
Hebrew Rehabilitation Center,1200 Centre Street,Roslindale,Massachusetts,(617) 363-8000,"1200 Centre Street, Roslindale, Massachusetts",42.29660690000001,-71.1310189,,,
Heywood Hospital,242 Green Street,Gardner,Massachusetts,(978) 632-3420,"242 Green Street, Gardner, Massachusetts",42.586257,-71.986511,,,
High Point Hospital,52 Oak Street,Middleboro,Massachusetts,(774) 213-8400,"52 Oak Street, Middleboro, Massachusetts",41.89434010000001,-70.91473169999999,,,
High Point Treatment,1233 State Road,Plymouth,Massachusetts,(508) 224-7701,"1233 State Road, Plymouth, Massachusetts",41.8861704,-70.5382532,,,
"High Point Treatment Center, Inc.",100 North Front Street,New Bedford,Massachusetts,(508) 997-0475,"100 North Front Street, New Bedford, Massachusetts",41.65270200000001,-70.92268609999999,,,
Holy Family Hospital,70 East Street,Methuen,Massachusetts,(978) 687-0151,"70 East Street, Methuen, Massachusetts",42.7275251,-71.16796970000001,,,
Holy Family Hospital At Merrimack Valley,140 Lincoln Avenue,Haverhill,Massachusetts,(978) 374-2000,"140 Lincoln Avenue, Haverhill, Massachusetts",42.7652565,-71.0448553,,,
Holyoke Medical Center,575 Beech Street,Holyoke,Massachusetts,(413) 534-2500,"575 Beech Street, Holyoke, Massachusetts",42.2003761,-72.6275517,,,
Homberg Infirmary,25 Carleton Street,Cambridge,Massachusetts,(617) 253-4481,"25 Carleton Street, Cambridge, Massachusetts",42.3616213,-71.0865613,,,
Hospital for Behavioral Medicine,100 Century Drive,Worcester,Massachusetts,(844) 319-0000,"100 Century Drive, Worcester, Massachusetts",42.3136786,-71.7704961,,,
HRI Hospital,227 Babcock Street,Brookline,Massachusetts,(617) 731-3200,"227 Babcock Street, Brookline, Massachusetts",42.3507761,-71.1212243,,,
Isham Health Center,180 Main Street,Andover,Massachusetts,(978) 749-4455,"180 Main Street, Andover, Massachusetts",42.6471421,-71.13231859999999,,,
"Lahey Hospital & Medical Center, Part of Beth Israel Lahey Health","41 Mall Road, P.O. Box 541",Burlington,Massachusetts,(781) 744-5100,"41 Mall Road, P.O. Box 541, Burlington, Massachusetts",42.4848754,-71.2051901,,,
Lahey Medical Center,1 Essex Center Drive,Peabody,Massachusetts,(978) 538-4000,"1 Essex Center Drive, Peabody, Massachusetts",42.5374944,-70.9467852,,,
Lawrence General Hospital,1 General Street,Lawrence,Massachusetts,(978) 683-4000,"1 General Street, Lawrence, Massachusetts",42.70975869999999,-71.1507002,,,
Lemuel Shattuck Hospital,170 Morton Street,Boston,Massachusetts,(617) 522-8110,"170 Morton Street, Boston, Massachusetts",42.2992996,-71.1014473,,,
Lowell General Hospital,295 Varnum Avenue,Lowell,Massachusetts,(978) 937-6000,"295 Varnum Avenue, Lowell, Massachusetts",42.6471829,-71.341381,,,
Saints Medical Center,1 Hospital Drive,Lowell,Massachusetts,(978) 458-1411,"1 Hospital Drive, Lowell, Massachusetts",42.6456092,-71.3009752,,,
Martha's Vineyard Hospital,"1 Hospital Road, P.O. Box 1477",Oak Bluffs,Massachusetts,(508) 693-0410,"1 Hospital Road, P.O. Box 1477, Oak Bluffs, Massachusetts",41.8414692,-71.4082667,,,
Massachusetts Eye and Ear Infirmary,243 Charles Street,Boston,Massachusetts,(617) 523-7900,"243 Charles Street, Boston, Massachusetts",42.3627386,-71.070112,,,
Massachusetts General Hospital,55 Fruit Street,Boston,Massachusetts,(617) 726-2000,"55 Fruit Street, Boston, Massachusetts",42.362919,-71.068747,,,
McLean Hospital,115 Mill Street,Belmont,Massachusetts,(617) 855-2000,"115 Mill Street, Belmont, Massachusetts",42.3951244,-71.1918616,,,
Naukeag Hospital,216 Lake Road,Ashburnham,Massachusetts,(800) 230-8764,"216 Lake Road, Ashburnham, Massachusetts",42.6624913,-71.93619749999999,,,
MelroseWakefield Healthcare (hospital),170 Governors Avenue,Medford,Massachusetts,(781) 306-6000,"170 Governors Avenue, Medford, Massachusetts",42.4263322,-71.11095949999999,,,
Melrose-Wakefield Hospital,585 Lebanon Street,Melrose,Massachusetts,(781) 979-3000,"585 Lebanon Street, Melrose, Massachusetts",42.4604103,-71.0610124,,,
Lawrence Memorial Hospital,170 Governors Avenue,Medford,Massachusetts,(781) 306-6000,"170 Governors Avenue, Medford, Massachusetts",42.4263322,-71.11095949999999,,,
Mercy Medical Center,271 Carew St. P.O. Box 9012,Springfield,Massachusetts,(413) 748-9000,"271 Carew St. P.O. Box 9012, Springfield, Massachusetts",42.11605520000001,-72.59239939999999,,,
MetroWest Medical Center,115 Lincoln Street,Framingham,Massachusetts,(508) 383-1000,"115 Lincoln Street, Framingham, Massachusetts",42.2850754,-71.4188971,,,
Leonard Morse Hospital,67 Union Street,Natick,Massachusetts,(508) 650-7000,"67 Union Street, Natick, Massachusetts",42.2807863,-71.3349786,,,
Framingham Union Hospital,115 Lincoln Street,Framingham,Massachusetts,(508) 383-1000,"115 Lincoln Street, Framingham, Massachusetts",42.2850754,-71.4188971,,,
Milford Regional Medical Center,14 Prospect Street,Milford,Massachusetts,(508) 473-1190,"14 Prospect Street, Milford, Massachusetts",42.1333439,-71.52881049999999,,,
MiraVista Behavioral Health Center,1233 Main Street,Holyoke,Massachusetts,(978) 615-5227,"1233 Main Street, Holyoke, Massachusetts",42.1659064,-72.633996,,,
Morton Hospital,88 Washington Street,Taunton,Massachusetts,(508) 828-7000,"88 Washington Street, Taunton, Massachusetts",41.9051446,-71.0952279,,,
"Mount Auburn Hospital, Part of Beth Israel Lahey Health",330 Mount Auburn Street,Cambridge,Massachusetts,(617) 492-3500,"330 Mount Auburn Street, Cambridge, Massachusetts",42.373977,-71.1334327,,,
Nantucket Cottage Hospital,57 Prospect Street,Nantucket,Massachusetts,(508) 825-8100,"57 Prospect Street, Nantucket, Massachusetts",41.2749215,-70.1008312,,,
Nashoba Valley Medical Center,200 Groton Road,Ayer,Massachusetts,(978) 784-9000,"200 Groton Road, Ayer, Massachusetts",42.577434,-71.573848,,,
"New England Baptist Hospital, Part of Beth Israel Lahey Health",125 Parker Hill Avenue,Boston,Massachusetts,(617) 754-5800,"125 Parker Hill Avenue, Boston, Massachusetts",42.3298116,-71.105892,,,
New England Recovery Center,153 Oak Street,Westborough,Massachusetts,(855) 774-0744,"153 Oak Street, Westborough, Massachusetts",42.2864089,-71.6269829,,,
New England Sinai Hospital,150 York Street,Stoughton,Massachusetts,(781) 344-0600,"150 York Street, Stoughton, Massachusetts",42.1447444,-71.098849,,,
Newton-Wellesley Hospital,2014 Washington Street,Newton,Massachusetts,(617) 243-6000,"2014 Washington Street, Newton, Massachusetts",42.33066789999999,-71.2477866,,,
Norwood Hospital,800 Washington Street,Norwood,Massachusetts,(781) 769-4000,"800 Washington Street, Norwood, Massachusetts",42.189271,-71.2019413,,,
Pappas Rehabilitation Hospital for Children,3 Randolph Street,Canton,Massachusetts,(781) 828-2440,"3 Randolph Street, Canton, Massachusetts",42.176018,-71.12529830000001,,,
Pembroke Hospital,199 Oak Street,Pembroke,Massachusetts,(781) 829-7000,"199 Oak Street, Pembroke, Massachusetts",42.0972247,-70.7645397,,,
Pocasset Mental Health Center,830 County Road,Pocasset,Massachusetts,(508) 564-9600,"830 County Road, Pocasset, Massachusetts",41.6883439,-70.6023927,,,
(Lawrence F.) Quigley Memorial Hospital,91 Crest Avenue,Chelsea,Massachusetts,(617) 884-5660,"91 Crest Avenue, Chelsea, Massachusetts",42.4004125,-71.02725819999999,,,
Saint Anne's Hospital,795 Middle Street,Fall River,Massachusetts,(508) 674-5741,"795 Middle Street, Fall River, Massachusetts",41.6929483,-71.16332539999999,,,
St. Elizabeth's Medical Center,736 Cambridge Street,Brighton,Massachusetts,(617) 789-3000,"736 Cambridge Street, Brighton, Massachusetts",42.3488609,-71.1494652,,,
Saint Vincent Hospital,123 Summer Street,Worcester,Massachusetts,(508) 363-5000,"123 Summer Street, Worcester, Massachusetts",42.2647185,-71.7968904,,,
Salem Hospital,81 Highland Avenue,Salem,Massachusetts,(978) 741-1200,"81 Highland Avenue, Salem, Massachusetts",42.5117136,-70.9068894,,,
NSMC Salem Hospital,81 Highland Avenue,Salem,Massachusetts,(978) 741-1200,"81 Highland Avenue, Salem, Massachusetts",42.5117136,-70.9068894,,,
NSMC Union Hospital,500 Lynnfield Street,Lynn,Massachusetts,(781) 581-9200,"500 Lynnfield Street, Lynn, Massachusetts",42.5018454,-70.9797638,,,
Shriners Hospitals for Children - Springfield,516 Carew Street,Springfield,Massachusetts,(413) 787-2000,"516 Carew Street, Springfield, Massachusetts",42.1213893,-72.5922932,,,
Shriners Hospitals for Children-Boston,51 Blossom Street,Boston,Massachusetts,(617) 722-3000,"51 Blossom Street, Boston, Massachusetts",42.3630268,-71.0665836,,,
Signature Healthcare Brockton Hospital,680 Centre Street,Brockton,Massachusetts,(508) 941-7000,"680 Centre Street, Brockton, Massachusetts",42.0877929,-70.99136539999999,,,
Soldiers' Home in Chelsea,91 Crest Avenue,Chelsea,Massachusetts,(617) 884-5660,"91 Crest Avenue, Chelsea, Massachusetts",42.4004125,-71.02725819999999,,,
South Shore Hospital,55 Fogg Road,South Weymouth,Massachusetts,(781) 624-8000,"55 Fogg Road, South Weymouth, Massachusetts",42.1758242,-70.9541227,,,
Southcoast Behavioral Health Hospital,581 Faunce Corner Road,North Dartmouth,Massachusetts,(508) 809-4487,"581 Faunce Corner Road, North Dartmouth, Massachusetts",41.674167,-70.98532,,,
Southcoast Hospitals Group,363 Highland Avenue,Fall River,Massachusetts,(508) 679-3131,"363 Highland Avenue, Fall River, Massachusetts",41.7092232,-71.1447124,,,
St. Luke's Hospital,101 Page Street,New Bedford,Massachusetts,(508) 997-1515,"101 Page Street, New Bedford, Massachusetts",41.6267538,-70.9387046,,,
Tobey Hospital,43 High Street,Wareham,Massachusetts,(508) 295-0880,"43 High Street, Wareham, Massachusetts",41.75616429999999,-70.7143056,,,
Charlton Memorial Hospital,363 Highland Avenue,Fall River,Massachusetts,(508) 679-3131,"363 Highland Avenue, Fall River, Massachusetts",41.7092232,-71.1447124,,,
Spaulding Hospital for Continuing Medical Care Cambridge,1575 Cambridge Street,Cambridge,Massachusetts,(617) 876-4344,"1575 Cambridge Street, Cambridge, Massachusetts",42.3757224,-71.1070658,,,
Spaulding Rehabilitation Hospital Cape Cod,311 Service Road,East Sandwich,Massachusetts,(508) 833-4000,"311 Service Road, East Sandwich, Massachusetts",41.7331058,-70.4678267,,,
Spaulding Rehabilitation Hospital Boston,300 First Ave.,Charlestown,Massachusetts,(617) 952-5000,"300 First Ave., Charlestown, Massachusetts",42.37859760000001,-71.0491268,,,
Sturdy Memorial Hospital,P.O. Box 2963,Attleboro,Massachusetts,(508) 222-5200,"P.O. Box 2963, Attleboro, Massachusetts",41.94454409999999,-71.2856082,,,
TaraVista Behavioral Health Center,85 Patton Road,Devens,Massachusetts,(978) 615-5200,"85 Patton Road, Devens, Massachusetts",42.5304742,-71.6149547,,,
Taunton State Hospital,"PO Box 4007, 60 Hodges Avenue",Taunton,Massachusetts,(508) 977-3000,"PO Box 4007, 60 Hodges Avenue, Taunton, Massachusetts",41.9058349,-71.10193199999999,,,
Tewksbury Hospital,365 East Street,Tewksbury,Massachusetts,(978) 851-7321,"365 East Street, Tewksbury, Massachusetts",42.6123394,-71.2171528,,,
Tufts Medical Center,800 Washington Street,Boston,Massachusetts,(617) 636-5000,"800 Washington Street, Boston, Massachusetts",42.3495467,-71.0634934,,,
UMass Memorial HealthAlliance-Clinton Hospital,60 Hospital Rd.,Leominster,Massachusetts,(978) 466-2000,"60 Hospital Rd., Leominster, Massachusetts",42.5404463,-71.7627115,,,
Burbank Hospital,275 Nichols Road,Fitchburg,Massachusetts,(978) 343-5000,"275 Nichols Road, Fitchburg, Massachusetts",42.5976464,-71.80568819999999,,,
Leominister Hospital,60 Hospital Road,Leominster,Massachusetts,(978) 466-2000,"60 Hospital Road, Leominster, Massachusetts",42.5404463,-71.7627115,,,
UMass Memorial Marlborough Hospital,157 Union Street,Marlborough,Massachusetts,(508) 481-5000,"157 Union Street, Marlborough, Massachusetts",42.3547907,-71.5550605,,,
UMass Memorial Medical Center,119 Belmont Street,Worcester,Massachusetts,(508) 334-1000,"119 Belmont Street, Worcester, Massachusetts",42.2729525,-71.7919981,,,
UMass Memorial Medical Center-University,55 Lake Avenue North,Worcester,Massachusetts,(508) 334-1000,"55 Lake Avenue North, Worcester, Massachusetts",42.2751122,-71.7620628,,,
UMass Memorial Medical Center-Memorial,119 Belmont Street,Worcester,Massachusetts,(508) 334-1000,"119 Belmont Street, Worcester, Massachusetts",42.2729525,-71.7919981,,,
UMass Memorial Medical Center-Hahneman,281 Lincoln Street,Worcester,Massachusetts,(508) 334-1000,"281 Lincoln Street, Worcester, Massachusetts",42.2856074,-71.7901354,,,
VA Bedford Healthcare System,200 Springs Road,Bedford,Massachusetts,(781) 687-2000,"200 Springs Road, Bedford, Massachusetts",42.5027767,-71.2737209,,,
VA Boston Healthcare System,1400 VFW Parkway,West Roxbury,Massachusetts,(617) 323-7700,"1400 VFW Parkway, West Roxbury, Massachusetts",42.2722627,-71.1725388,,,
VA Boston Healthcare-Brockton,940 Belmont Street,Brockton,Massachusetts,(508) 583-4500,"940 Belmont Street, Brockton, Massachusetts",42.0655839,-71.0529107,,,
VA Boston Healthcare-Jamaica Plain,150 S. Huntington Avenue,Jamaica Plain,Massachusetts,(617) 232-9500,"150 S. Huntington Avenue, Jamaica Plain, Massachusetts",42.3260271,-71.1111045,,,
VA Central Western Massachusetts Healthcare System,421 North Main Street,Leeds,Massachusetts,(413) 584-4040,"421 North Main Street, Leeds, Massachusetts",42.3472647,-72.6859127,,,
Vibra Hospital of Southeastern Massachusetts,4499 Acushnet Avenue,New Bedford,Massachusetts,(508) 995-6900,"4499 Acushnet Avenue, New Bedford, Massachusetts",41.740357,-70.9454933,,,
Vibra Hospital of Western Massachusetts,1400 State Street,Springfield,Massachusetts,(413) 787-6700,"1400 State Street, Springfield, Massachusetts",42.120568,-72.547579,,,
"Vibra Hospital of Western MA,Central Cam",111 Huntoon Memorial Highway,Rochdale,Massachusetts,(508) 892-6000,"111 Huntoon Memorial Highway, Rochdale, Massachusetts",42.2020371,-71.8989142,,,
"Walden Behavioral Care, LLC",51 Sawyer Road,Waltham,Massachusetts,(781) 647-6700,"51 Sawyer Road, Waltham, Massachusetts",42.3611174,-71.2581874,,,
Westborough Behavioral Healthcare Hospital,300 Friberg Parkway,Westborough,Massachusetts,(508) 329-6300,"300 Friberg Parkway, Westborough, Massachusetts",42.2835105,-71.5802771,,,
Western Massachusetts Hospital,91 East Mountain Road,Westfield,Massachusetts,(413) 562-4131,"91 East Mountain Road, Westfield, Massachusetts",42.1103814,-72.7010849,,,
Whittier Pavilion,76 Summer Street,Haverhill,Massachusetts,(978) 373-8222,"76 Summer Street, Haverhill, Massachusetts",42.7785134,-71.073269,,,
Whittier Rehabilitation Hospital-Westborough,"150 Flanders Road, P.O. Box 1250",Westborough,Massachusetts,(508) 870-2222,"150 Flanders Road, P.O. Box 1250, Westborough, Massachusetts",42.2772098,-71.5681646,,,
Whittier Rehabilitation Hospital-Bradford,145 Ward Hill,Bradford,Massachusetts,(978) 372-8000,"145 Ward Hill, Bradford, Massachusetts",42.7617077,-71.1189497,,,
"Winchester Hospital, Part of Beth Israel Lahey Health",41 Highland Avenue,Winchester,Massachusetts,(781) 729-9000,"41 Highland Avenue, Winchester, Massachusetts",42.4658868,-71.1224312,,,
Worcester Recovery Center and Hospital,309 Belmont Street,Worcester,Massachusetts,(508) 368-4000,"309 Belmont Street, Worcester, Massachusetts",42.2795637,-71.7696428,,,
